Player,combined_teams,Batting Impact_combined,Batting impact/innings_combined,Batted Innings_combined,Runs_combined,Impact Runs_combined,weighted_batting_impact_per_innings,active_years_count
Vivrant Sharma,SRH,"[nan, nan, 49.9]","[nan, nan, 49.9]","[nan, nan, 1.0]","[nan, nan, 69.0]","[nan, nan, 64.7]",42.415,1.0
Jonny Bairstow,"MI, PBKS","[102.8, 284.4, nan]","[51.4, 25.8, nan]","[2.0, 11.0, nan]","[85.0, 298.0, nan]","[95.7, 293.1, nan]",41.16,2.0
Shubman Gill,GT,"[602.9, 418.7, 1001.8]","[40.1, 34.8, 58.9]","[15.0, 12.0, 17.0]","[650.0, 426.0, 890.0]","[666.2, 426.8, 941.4]",41.065,3.0
Virat Kohli,RCB,"[549.7, 713.0, 562.7]","[36.6, 47.5, 40.1]","[15.0, 15.0, 14.0]","[657.0, 741.0, 639.0]","[656.5, 740.3, 622.5]",40.94,3.0
Yashasvi Jaiswal,RR,"[567.9, 541.4, 725.1]","[40.5, 36.0, 51.7]","[14.0, 15.0, 14.0]","[559.0, 435.0, 625.0]","[602.4, 484.9, 676.1]",40.605,3.0
Nicholas Pooran,LSG,"[557.8, 622.7, 474.8]","[39.8, 44.4, 31.6]","[14.0, 14.0, 15.0]","[524.0, 499.0, 358.0]","[566.5, 543.9, 393.7]",40.18,3.0
Sai Sudharsan,GT,"[641.2, 439.7, 290.4]","[42.7, 36.6, 36.3]","[15.0, 12.0, 8.0]","[759.0, 527.0, 362.0]","[756.5, 502.0, 339.5]",39.605,3.0
Suryakumar Yadav,MI,"[653.3, 396.0, 701.3]","[40.8, 36.0, 43.8]","[16.0, 11.0, 16.0]","[717.0, 345.0, 605.0]","[733.6, 366.5, 648.8]",39.57,3.0
Abhishek Sharma,SRH,"[520.9, 655.7, 219.6]","[40.0, 40.9, 19.9]","[13.0, 16.0, 11.0]","[439.0, 484.0, 226.0]","[502.3, 551.3, 224.3]",37.3,3.0
Manish Pandey,"KKR, DC","[71.5, 61.2, 144.6]","[23.8, 61.2, 16.0]","[3.0, 1.0, 9.0]","[92.0, 42.0, 160.0]","[92.4, 50.3, 164.1]",35.72,3.0
