Player,combined_teams,Bowling Impact_combined,Bowling impact/mat_combined,Bowled Innings_combined,Wkts_combined,Impact Wickets_combined,weighted_bowling_impact_per_match,active_years_count
Josh Little,GT,"[nan, 114.0, 249.7]","[nan, 114.0, 24.9]","[nan, 1.0, 10.0]","[nan, 4.0, 7.0]","[nan, 7.0, 10.0]",78.35999999999999,2.0
Vidwath Kaverappa,PBKS,"[nan, 84.8, nan]","[nan, 84.8, nan]","[nan, 1.0, nan]","[nan, 2.0, nan]","[nan, 3.6, nan]",72.08,1.0
Lungi Ngidi,RCB,"[135.8, nan, nan]","[67.9, nan, nan]","[2.0, nan, nan]","[4.0, nan, nan]","[6.5, nan, nan]",57.715,1.0
Mark Wood,LSG,"[nan, nan, 258.4]","[nan, nan, 64.6]","[nan, nan, 4.0]","[nan, nan, 11.0]","[nan, nan, 11.5]",54.91,1.0
Nuwan Thushara,"RCB, MI","[63.8, 242.8, nan]","[63.8, 34.6, nan]","[1.0, 7.0, nan]","[1.0, 8.0, nan]","[1.2, 12.1, nan]",52.12,2.0
Jasprit Bumrah,MI,"[502.8, 761.6, nan]","[41.9, 58.5, nan]","[12.0, 13.0, nan]","[18.0, 20.0, nan]","[20.2, 22.9, nan]",48.54,2.0
Kuldeep Sen,RR,"[nan, 165.2, nan]","[nan, 55.0, nan]","[nan, 3.0, nan]","[nan, 6.0, nan]","[nan, 8.2, nan]",46.75,1.0
Will O’Rourke,LSG,"[155.1, nan, nan]","[51.7, nan, nan]","[3.0, nan, nan]","[6.0, nan, nan]","[9.2, nan, nan]",43.945,1.0
Kuldeep Yadav,DC,"[577.9, 504.8, 334.2]","[44.4, 45.8, 23.8]","[13.0, 11.0, 14.0]","[15.0, 16.0, 10.0]","[19.7, 21.9, 12.1]",41.8,3.0
Akash Singh,"LSG, CSK","[168.4, nan, 103.2]","[56.1, nan, 17.2]","[3.0, nan, 6.0]","[4.0, nan, 5.0]","[6.5, nan, 5.6]",40.54,2.0
Varun Chakravarthy,KKR,"[457.1, 593.6, 567.5]","[35.1, 42.4, 40.5]","[13.0, 14.0, 14.0]","[17.0, 21.0, 20.0]","[20.9, 23.8, 23.9]",38.465,3.0
Piyush Chawla,MI,"[nan, 390.8, 683.6]","[nan, 35.5, 42.7]","[nan, 11.0, 16.0]","[nan, 13.0, 22.0]","[nan, 17.9, 27.4]",38.38,2.0
Josh Hazlewood,RCB,"[563.7, nan, 75.4]","[46.9, nan, 25.1]","[12.0, nan, 3.0]","[22.0, nan, 3.0]","[30.0, nan, 3.4]",38.18,2.0
Mayank Yadav,LSG,"[50.0, 228.7, nan]","[25.0, 57.1, nan]","[2.0, 4.0, nan]","[2.0, 7.0, nan]","[3.1, 9.7, nan]",37.84,2.0
Anukul Roy,KKR,"[46.3, nan, 71.7]","[46.3, nan, 23.9]","[1.0, nan, 3.0]","[1.0, nan, 3.0]","[1.5, nan, 4.0]",37.34,2.0
Mustafizur Rahman,"DC, CSK","[147.4, 303.1, 12.2]","[49.1, 33.6, 6.1]","[3.0, 9.0, 2.0]","[4.0, 14.0, 1.0]","[6.0, 15.4, 1.3]",37.225,3.0
